id,name,source_id,node_id,lat,long,country_code,comment,tags,nuts_id_1,nuts_id_2,nuts_id_3,uncertainty_nuts_id_1,uncertainty_nuts_id_2,uncertainty_nuts_id_3,method_nuts_id_1,method_nuts_id_2,method_nuts_id_3
INET_N_1314,INET_N_1314,['XX_648'],['INET_N_1314'],54.150485,-4.5019480000000005,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_0_L_LMGN,N_0_L_LMGN,['XX_4457'],['N_0_L_LMGN'],38.567395,49.97972,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_101_NS_LMGN,N_101_NS_LMGN,['XX_9982'],['N_101_NS_LMGN'],59.05852,1.7874,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_102_L_LMGN,N_102_L_LMGN,['XX_4707'],['N_102_L_LMGN'],33.01876,43.04841,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_103_L_LMGN,N_103_L_LMGN,['XX_4708'],['N_103_L_LMGN'],30.70501,45.51461,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_103_M_LMGN,N_103_M_LMGN,['XX_5420'],['N_103_M_LMGN'],32.03181,31.83168,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_104_L_LMGN,N_104_L_LMGN,['XX_4709'],['N_104_L_LMGN'],34.2585,43.88636,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_104_NS_LMGN,N_104_NS_LMGN,['XX_9986'],['N_104_NS_LMGN'],58.24655,-0.02889,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_105_L_LMGN,N_105_L_LMGN,['XX_4710'],['N_105_L_LMGN'],35.8408,44.0904,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_105_M_LMGN,N_105_M_LMGN,['XX_5423'],['N_105_M_LMGN'],32.36547,32.111290000000004,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_106_M_LMGN,N_106_M_LMGN,['XX_5426'],['N_106_M_LMGN'],32.176575,32.172955,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_107_NS_LMGN,N_107_NS_LMGN,['XX_9989'],['N_107_NS_LMGN'],58.78628000000001,-0.10053,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_109_NS_LMGN,N_109_NS_LMGN,['XX_9992'],['N_109_NS_LMGN'],56.67764,0.8255299999999999,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_113_M_LMGN,N_113_M_LMGN,['XX_5433'],['N_113_M_LMGN'],32.44685,32.23118,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_114_NS_LMGN,N_114_NS_LMGN,['XX_9993'],['N_114_NS_LMGN'],57.36669000000001,0.7723800000000001,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_114_S_LMGN,N_114_S_LMGN,['XX_6962'],['N_114_S_LMGN'],43.21822,47.53042,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
