id,country_code
INET_N_855,PL
INET_N_1828,PL
INET_N_329,PL
INET_N_1612,IT
INET_N_1009,IT
INET_N_1093,IT
INET_N_1061,IT
INET_N_1086,IT
SEQ_1477__L_LMGN,IT
SEQ_18_p,IT
INET_N_1263,IT
INET_N_191,AL
INET_N_531,AL
INET_N_563,IT
INET_N_1626,IT
INET_N_752,SK
INET_N_1730,SK
INET_N_45,GB
INET_N_1252,GB
INET_N_1130,BY
INET_N_749,BY
INET_N_852,BY
INET_N_1301,BY
INET_N_1818,BY
INET_N_854,GR
INET_N_787,GR
INET_N_1327,EE
INET_N_1123,EE
INET_N_780,TR
INET_N_1435,TR
INET_N_1759,UA
SEQ_210_p,UA
INET_N_407,UA
SEQ_153_p,UA
INET_N_994,UA
INET_N_1760,UA
SEQ_228_p,UA
INET_N_873,UA
SEQ_238_p,UA
INET_N_678,UA
INET_N_223,UA
SEQ_194_p,UA
SEQ_264_p,UA
INET_N_754,UA
INET_N_928,UA
SEQ_201_p,UA
SEQ_271_p,UA
SEQ_273_p,UA
SEQ_276_p,UA
SEQ_211_p,UA
SEQ_279_p,UA
SEQ_215_p,UA
SEQ_283_p,UA
INET_N_1489,UA
INET_N_1162,UA
INET_N_1813,UA
INET_N_1185,UA
INET_N_1688,UA
INET_N_1187,UA
SEQ_328_p,UA
INET_N_1689,UA
SEQ_280_p,UA
SEQ_341_p,UA
INET_N_978,UA
SEQ_344_p,UA
INET_N_401,UA
SEQ_289_p,UA
SEQ_350_p,UA
SEQ_352_p,UA
INET_N_1690,UA
INET_N_884,UA
INET_N_1554,UA
SEQ_400_p,UA
SEQ_403_p,UA
INET_N_1141,UA
INET_N_481,UA
INET_N_1691,UA
INET_N_1049,UA
INET_N_838,UA
INET_N_64,UA
INET_N_139,UA
SEQ_490_p,UA
INET_N_716,UA
SEQ_433_p,UA
INET_N_1757,UA
SEQ_437_p,UA
SEQ_499_p,UA
INET_N_779,UA
SEQ_502_p,UA
SEQ_504_p,UA
SEQ_506_p,UA
INET_N_1597,UA
SEQ_511_p,UA
INET_N_1578,UA
INET_N_125,UA
INET_N_1186,UA
INET_N_748,UA
INET_N_317,UA
INET_N_1588,UA
SEQ_515_p,UA
SEQ_543_p,UA
INET_N_706,UA
INET_N_1249,UA
INET_N_1165,UA
SEQ_568_p,RU
INET_N_1681,UA
INET_N_1682,UA
INET_N_1683,UA
INET_N_1685,UA
INET_N_410,UA
INET_N_963,UA
INET_N_1678,UA
SEQ_631_p,UA
INET_N_1677,UA
INET_N_877,UA
INET_N_1117,UA
N_735_M_LMGN,IT
N_736_M_LMGN,IT
N_1167_S_LMGN,IT
SEQ_5193__L_LMGN,IT
N_160_L_LMGN,IT
N_271_NS_LMGN,
N_281_NS_LMGN,
N_53_NS_LMGN,
N_52_NS_LMGN,
N_39_NS_LMGN,
N_152_NS_LMGN,
N_205_NS_LMGN,NL
N_202_NS_LMGN,NL
N_299_NS_LMGN,NL
N_772_M_LMGN,ES
SEQ_705_p,ES
N_806_M_LMGN,ES
N_645_M_LMGN,ES
SEQ_6985__M_LMGN,ES
SEQ_6989__M_LMGN,ES
SEQ_713_p,ES
SEQ_6997__M_LMGN,ES
SEQ_7001__M_LMGN,ES
N_537_M_LMGN,ES
INET_N_611,BE
N_269_L_LMGN,BE
SEQ_7939__L_LMGN,BE
SEQ_7943__L_LMGN,BE
N_285_L_LMGN,BE
N_190_L_LMGN,GB
SEQ_725_p,GB
N_267_L_LMGN,GB
SEQ_7947__L_LMGN,GB
N_288_L_LMGN,ES
N_42_L_LMGN,ES
SEQ_1609__M_LMGN,ES
N_155_M_LMGN,ES
N_1631_S_LMGN,FR
N_1632_S_LMGN,FR
N_2193_S_LMGN,FR
N_2192_S_LMGN,FR
SEQ_6595__L_LMGN,FR
N_239_L_LMGN,FR
SEQ_10293__M_LMGN,NL
N_1757_S_LMGN,NL
SEQ_10865__M_LMGN,NL
SEQ_10867__M_LMGN,NL
SEQ_10079__M_LMGN,IT
N_816_M_LMGN,IT
N_553_M_LMGN,IT
SEQ_13823__S_LMGN,IT
N_822_M_LMGN,IT
N_1848_S_LMGN,IT
SEQ_13927__S_LMGN,IT
N_555_M_LMGN,IT
N_81_L_LMGN,PL
SEQ_7665__L_LMGN,PL
SEQ_7667__L_LMGN,PL
N_417_S_LMGN,PL
N_149_L_LMGN,FR
N_234_L_LMGN,FR
SEQ_3237__L_LMGN,FR
SEQ_3231__L_LMGN,FR
SEQ_3227__L_LMGN,FR
N_2035_S_LMGN,FR
SEQ_19141__S_LMGN,FR
N_45_L_LMGN,FR
SEQ_5097__L_LMGN,FR
N_2106_S_LMGN,IT
N_2107_S_LMGN,IT
SEQ_5149__L_LMGN,IT
SEQ_5153__L_LMGN,IT
SEQ_5165__L_LMGN,IT
N_64_L_LMGN,IT
SEQ_1435__L_LMGN,IT
SEQ_1441__L_LMGN,IT
N_1833_S_LMGN,HR
N_1480_S_LMGN,HR
N_1481_S_LMGN,HR
N_1248_S_LMGN,HR
SEQ_5753__L_LMGN,SK
SEQ_5369__S_LMGN,SK
N_211_L_LMGN,SK
SEQ_5295__L_LMGN,CZ
SEQ_10405__S_LMGN,CZ
SEQ_10633__M_LMGN,SI
SEQ_816_p,SI
SEQ_10643__M_LMGN,SI
SEQ_10647__M_LMGN,SI
N_910_M_LMGN,SI
SEQ_929__L_LMGN,SI
N_1236_S_LMGN,SI
N_958_S_LMGN,HR
N_1834_S_LMGN,HR
SEQ_6715__M_LMGN,HU
SEQ_21469__S_LMGN,HU
N_620_M_LMGN,HU
SEQ_6673__M_LMGN,HU
SEQ_6993__S_LMGN,HU
SEQ_12931__S_LMGN,NL
SEQ_707__L_LMGN,NL
N_30_M_LMGN,ES
N_564_M_LMGN,ES
N_74_M_LMGN,ES
SEQ_860_p,ES
SEQ_653__M_LMGN,ES
SEQ_867_p,SK
SEQ_871_p,SK
SEQ_5789__L_LMGN,SK
SEQ_5243__M_LMGN,HU
N_489_M_LMGN,HU
SEQ_9721__M_LMGN,HU
SEQ_9741__M_LMGN,HU
N_1146_S_LMGN,ES
SEQ_8237__S_LMGN,ES
SEQ_8829__M_LMGN,ES
SEQ_889_p,ES
SEQ_10731__M_LMGN,IT
SEQ_10735__M_LMGN,IT
N_2059_S_LMGN,PL
N_2060_S_LMGN,PL
SEQ_4795__L_LMGN,ES
SEQ_4815__L_LMGN,ES
SEQ_4791__L_LMGN,ES
SEQ_2175__L_LMGN,IT
N_46_L_LMGN,IT
N_101_L_LMGN,IT
SEQ_3753__L_LMGN,IT
SEQ_3747__L_LMGN,IT
SEQ_7989__M_LMGN,NL
N_717_M_LMGN,NL
SEQ_689__L_LMGN,NL
N_61_L_LMGN,FR
SEQ_3717__L_LMGN,FR
N_163_L_LMGN,FR
SEQ_3245__L_LMGN,FR
N_98_L_LMGN,FR
SEQ_2157__L_LMGN,FR
SEQ_8237__M_LMGN,FR
SEQ_10433__M_LMGN,ES
SEQ_928_p,ES
N_803_M_LMGN,ES
SEQ_9209__M_LMGN,ES
SEQ_9997__M_LMGN,FR
N_811_M_LMGN,FR
SEQ_9977__M_LMGN,FR
SEQ_9973__M_LMGN,FR
SEQ_9971__M_LMGN,FR
SEQ_9967__M_LMGN,FR
SEQ_9963__M_LMGN,FR
SEQ_9959__M_LMGN,FR
SEQ_9955__M_LMGN,FR
N_867_M_LMGN,FR
SEQ_6895__L_LMGN,UA
SEQ_2651__S_LMGN,UA
N_391_S_LMGN,UA
INET_N_1480,IT
SEQ_8163__M_LMGN,IT
N_738_M_LMGN,IT
SEQ_8159__M_LMGN,IT
SEQ_7701__L_LMGN,PL
SEQ_7711__L_LMGN,PL
SEQ_7031__S_LMGN,PL
SEQ_7687__L_LMGN,PL
SEQ_7681__L_LMGN,PL
SEQ_7677__L_LMGN,PL
SEQ_7675__L_LMGN,PL
N_541_M_LMGN,FR
SEQ_9815__M_LMGN,FR
N_539_M_LMGN,FR
SEQ_7053__M_LMGN,FR
SEQ_4067__M_LMGN,RS
INET_N_149,RS
SEQ_4061__M_LMGN,RS
SEQ_4059__M_LMGN,RS
SEQ_4053__M_LMGN,RS
N_393_M_LMGN,RS
SEQ_1447__L_LMGN,IT
SEQ_993_p,IT
N_791_S_LMGN,NL
SEQ_996_p,NL
SEQ_8377__L_LMGN,NL
SEQ_4825__L_LMGN,ES
SEQ_7141__M_LMGN,ES
N_891_S_LMGN,ES
N_165_L_LMGN,IT
SEQ_3773__L_LMGN,IT
SEQ_6881__L_LMGN,AT
N_1242_S_LMGN,AT
N_1554_S_LMGN,AT
SEQ_1018_p,AT
SEQ_18117__S_LMGN,AT
N_2356_S_LMGN,AT
SEQ_4119__S_LMGN,NL
N_731_M_LMGN,NL
SEQ_4131__S_LMGN,NL
SEQ_5823__M_LMGN,NL
N_320_NS_LMGN,NL
N_483_M_LMGN,SE
N_484_M_LMGN,SE
N_1488_S_LMGN,IT
N_2104_S_LMGN,IT
N_1486_S_LMGN,IT
N_757_M_LMGN,EE
N_754_M_LMGN,EE
N_458_M_LMGN,EE
SEQ_1299__S_LMGN,EE
N_409_S_LMGN,PL
SEQ_9149__S_LMGN,PL
SEQ_9139__S_LMGN,PL
SEQ_9127__S_LMGN,PL
N_1253_S_LMGN,PL
N_1755_S_LMGN,NL
N_563_M_LMGN,ES
SEQ_10425__M_LMGN,ES
N_823_M_LMGN,IT
N_897_M_LMGN,IT
N_2305_S_LMGN,HR
N_908_S_LMGN,HR
N_398_M_LMGN,RO
SEQ_6613__M_LMGN,RO
SEQ_6615__M_LMGN,RO
SEQ_10629__M_LMGN,IT
N_79_S_LMGN,NL
N_602_M_LMGN,NL
SEQ_10253__M_LMGN,NL
N_774_M_LMGN,NL
N_2493_S_LMGN,NL
SEQ_719__L_LMGN,NL
