id,name,comment,diameter_mm,end_year,is_H_gas,is_bothDirection,lat_mean,length_km,long_mean,max_cap_M_m3_per_d,max_pressure_bar,num_compressor,start_year,waterDepth_m,from_node_id,to_node_id,from_country_code,to_country_code,from_lat,to_lat,from_long,to_long,manually_added
INET_PL_1,AlcazarDeSanJuan_Chinchilla,,923.7925292425738,2050,1.0,0.0,39.1412549,151.1390654104781,-2.5349646999999997,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_23,INET_N_295,ES,ES,39.3900748,38.892435,-3.3500984,-1.719831,False
INET_PL_3,Tarancon_Madrid,,923.7925292425738,2050,1.0,0.0,40.1165,46.76463181147863,-3.444,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1460,INET_N_904,ES,ES,40.01,40.223,-3.207,-3.681,False
INET_PL_5,Alessandria_Cortemaggiore,,914.4,2050,1.0,0.0,44.945578,103.73911546537694,9.265165499999998,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_317,INET_N_26,IT,IT,44.991076,44.90008,9.920891,8.60944,False
INET_PL_7,Almendralejo_Badajoz,,923.7925292425738,2050,1.0,0.0,38.793926,54.26567651505522,-6.6769695,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_36,INET_N_108,ES,ES,38.711202,38.87665,-6.382539,-6.9714,False
INET_PL_9,Almendralejo_Zamora,,923.7925292425738,2050,1.0,0.0,40.108601,317.14656408978936,-6.0132695,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_36,INET_N_1653,ES,ES,38.711202,41.506,-6.382539,-5.644,False
INET_PL_11,Altamura_Candela,,1219.0,2050,1.0,0.0,40.9817035,93.7495577314835,16.03379,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_252,INET_N_46,IT,IT,41.136273,40.827134,15.514454,16.553126,False
INET_PL_13,Altamura_Latiano,,508.0,2050,1.0,0.0,40.6889685,102.92069636172059,17.135434,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_832,INET_N_46,IT,IT,40.550803,40.827134,17.717742,16.553126,False
INET_PL_15,Altamura_MonteAlpi,,508.0,2050,1.0,0.0,40.7267955,52.8095084425058,16.2692335,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_991,INET_N_46,IT,IT,40.626457,40.827134,15.985341,16.553126,False
INET_PL_17,Altamura_Palagiano,,1219.0,2050,1.0,0.0,40.7027935,49.37837425697909,16.7956665,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1106,INET_N_46,IT,IT,40.578453,40.827134,17.038207,16.553126,False
INET_PL_19,Chazelles_Roussines,,923.7925292425738,2050,1.0,0.0,46.05507,119.78577478824157,0.8735094999999999,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_285,INET_N_1261,FR,FR,45.64714,46.463,0.367019,1.38,False
